OBJECTID,FEATURE_TYPE,INDUSTRY_ID,STATION_NAME,STATION_OWNER,STATION_DESCRIPTION,STATION_ADDRESS,STATION_SUBURB,STATION_POSTCODE,STATION_STATE,OPERATIONAL_STATUS,SPATIAL_CONFIDENCE,GNAF_ASSIGNMENT_METHOD,STATION_REVISED_DATE,GNAF_FORMATTED_ADDRESS,GNAF_ADDRESS_DETAIL_PID,GNAF_CONFIDENCE,GNAF_SUBURB,GNAF_POSTCODE,DISTANCE_TO_GNAF
5336,PETROL STATION,,UNITED PETROLEUM KEMPSEY,UNITED,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,154 BELGRAVE STREET,KEMPSEY ,2440,NSW,OPERATIONAL,1,GNAF ADDRESS MATCH,,154 BELGRAVE STREET,GANSW705062520,2,KEMPSEY,2440,10.2
5337,PETROL STATION,,BUDGET FRESHWATER,BUDGET,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,119 HARBORD ROAD,FRESHWATER ,2096,NSW,OPERATIONAL,1,GNAF ADDRESS MATCH,,119 HARBORD ROAD,GANSW717535343,2,FRESHWATER,2096,0.1
5338,PETROL STATION,,COLES EXPRESS GYMEA,COLES EXPRESS,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,470 PRINCES HIGHWAY,GYMEA ,2232,NSW,OPERATIONAL,1,GNAF ADDRESS MATCH,,470 PRINCES HIGHWAY,GANSW704911058,1,GYMEA,2227,40.5
5339,PETROL STATION,,INDEPENDENT WINGHAM,INDEPENDENT,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,23-29 ISABELLA STREET,WINGHAM ,2429,NSW,OPERATIONAL,1,GNAF ADDRESS MATCH,,23-29 ISABELLA STREET,GANSW706327800,1,WINGHAM,2429,1.9
5340,PETROL STATION,,CALTEX WOOLWORTHS ALBURY,CALTEX WOOLWORTHS,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,515 YOUNG STREET,ALBURY ,2640,NSW,OPERATIONAL,1,GNAF ADDRESS MATCH,,515 YOUNG STREET,GANSW717113098,1,ALBURY,2640,6.1
5341,PETROL STATION,,METRO PETROLEUM LIVERPOOL,METRO FUEL,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,64 ORANGE GROVE ROAD,WARWICK FARM,2170,NSW,OPERATIONAL,1,GNAF ADDRESS MATCH,,64 ORANGE GROVE ROAD,GANSW706200344,1,WARWICK FARM,2170,0
5342,PETROL STATION,,CALTEX WOOLWORTHS UNANDERRA,CALTEX WOOLWORTHS,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,110-112 PRINCES HIGHWAY,UNANDERRA ,2526,NSW,OPERATIONAL,1,GNAF ADDRESS MATCH,,110-112 PRINCES HIGHWAY,GANSW715491045,2,UNANDERRA,2526,0
5343,PETROL STATION,,INDEPENDENT TURRAMURRA,INDEPENDENT,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,105 EASTERN ROAD,TURRAMURRA ,2074,NSW,OPERATIONAL,1,GNAF ADDRESS MATCH,,105 EASTERN ROAD,GANSW706151143,1,TURRAMURRA,2074,0.1
5344,PETROL STATION,,INDEPENDENT RANKINS SPRINGS,INDEPENDENT,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,20 BOOMERANG STREET,RANKINS SPRINGS,2669,NSW,OPERATIONAL,1,GNAF ADDRESS MATCH,,20 BOOMERANG STREET,GANSW717944323,0,RANKINS SPRINGS,2669,10.6
5345,PETROL STATION,,ULMARRA LIBERTY POST OFFICE,LIBERTY,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,2449 BIG RIVER WAY,ULMARRA ,2462,NSW,OPERATIONAL,1,GNAF ADDRESS MATCH,,2449 BIG RIVER WAY,GANSW720460787,1,ULMARRA,2462,0
5346,PETROL STATION,,CALTEX WOOLWORTHS PEAKHURST,CALTEX WOOLWORTHS,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,742 FOREST ROAD,PEAKHURST ,2210,NSW,OPERATIONAL,1,GNAF ADDRESS MATCH,,742 FOREST ROAD,GANSW718408667,0,PEAKHURST,2210,13.5
5347,PETROL STATION,,7-ELEVEN HABERFIELD,7-ELEVEN,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,25 PARRAMATTA ROAD,HABERFIELD ,2045,NSW,OPERATIONAL,1,GNAF ADDRESS MATCH,,25 PARRAMATTA ROAD,GANSW710553518,1,HABERFIELD,2045,0
5348,PETROL STATION,,LOWES ARMIDALE,LOWES,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,84 MARSH STREET,ARMIDALE ,2350,NSW,OPERATIONAL,1,GNAF ADDRESS MATCH,,84 MARSH STREET,GANSW712085485,1,ARMIDALE,2350,0.1
5349,PETROL STATION,,CALTEX WOOLWORTHS CHARLESTOWN,CALTEX WOOLWORTHS,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,93 PACIFIC HIGHWAY,CHARLESTOWN ,2290,NSW,OPERATIONAL,1,GNAF ADDRESS MATCH,,93 PACIFIC HIGHWAY,GANSW704388414,1,CHARLESTOWN,2290,3
5350,PETROL STATION,,MOBIL BERRIDALE,MOBIL,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,68 JINDABYNE ROAD,BERRIDALE ,2628,NSW,OPERATIONAL,1,GNAF ADDRESS MATCH,,68 JINDABYNE ROAD,GANSW717598394,1,BERRIDALE,2628,0
5351,PETROL STATION,,CALTEX INVERELL ROAD HOUSE,CALTEX,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,143-149 WARIALDA ROAD,INVERELL ,2360,NSW,OPERATIONAL,1,GNAF ADDRESS MATCH,,143-149 WARIALDA ROAD,GANSW717177821,2,INVERELL,2360,0
5352,PETROL STATION,,BP GULGONG,BP,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,77 MEDLEY STREET,GULGONG ,2852,NSW,OPERATIONAL,1,GNAF ADDRESS MATCH,,77 MEDLEY STREET,GANSW713079967,1,GULGONG,2852,13.5
5353,PETROL STATION,,SPEEDWAY SOUTH GRANVILLE,SPEEDWAY,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,171 CLYDE STREET,SOUTH GRANVILLE,2142,NSW,OPERATIONAL,1,GNAF ADDRESS MATCH,,171 CLYDE STREET,GANSW717114859,1,SOUTH GRANVILLE,2142,0
5354,PETROL STATION,,BUDGET PETROL CHIPPENDALE,BUDGET,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,66-70 REGENT STREET,CHIPPENDALE ,2008,NSW,OPERATIONAL,1,GNAF ADDRESS MATCH,,66-70 REGENT STREET,GANSW717678258,1,CHIPPENDALE,2008,0
5355,PETROL STATION,,INDEPENDENT EGLINTON,INDEPENDENT,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,21 PARK STREET,EGLINTON ,2795,NSW,OPERATIONAL,1,GNAF ADDRESS MATCH,,21 PARK STREET,GANSW712965491,1,EGLINTON,2795,0
5356,PETROL STATION,,METRO PETROLEUM MORISSET PARK,METRO FUEL,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,5 MACQUARIE ROAD,MORISSET PARK,2264,NSW,OPERATIONAL,1,GNAF ADDRESS MATCH,,5 MACQUARIE ROAD,GANSW705402659,2,MORISSET PARK,2264,0
