OBJECTID,FEATURE_TYPE,INDUSTRY_ID,STATION_NAME,STATION_OWNER,STATION_DESCRIPTION,STATION_ADDRESS,STATION_SUBURB,STATION_POSTCODE,STATION_STATE,OPERATIONAL_STATUS,SPATIAL_CONFIDENCE,GNAF_ASSIGNMENT_METHOD,STATION_REVISED_DATE,GNAF_FORMATTED_ADDRESS,GNAF_ADDRESS_DETAIL_PID,GNAF_CONFIDENCE,GNAF_SUBURB,GNAF_POSTCODE,DISTANCE_TO_GNAF
1610,PETROL STATION,61401149,COLES EXPRESS TINGALPA,COLES EXPRESS,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,1469 WYNNUM ROAD,TINGALPA,4173,QLD,OPERATIONAL,1,AS RECEIVED – NO GNAF MATCH,07/10/2020,,,,,,
1611,PETROL STATION,61401880,PUMA CURRUMBIN,PUMA,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,"CORNER HAYTER AND STEWART ST,",CURRUMBIN,4223,QLD,OPERATIONAL,1,AS RECEIVED – NO GNAF MATCH,30/11/2019,,,,,,
1612,PETROL STATION,61402389,CALTEX/WOOLWORTHS WILSONTON (TOOWOOMBA),COLES WOOLWORTHS,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,ERIN STREET,WILSONTON,4350,QLD,OPERATIONAL,1,AS RECEIVED – NO GNAF MATCH,02/12/2020,,,,,,
1613,PETROL STATION,61401545,FREEDOM FUELS MT GRAVATT,FREEDOM FUELS,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,154 CREEK ROAD AND GATTON STREET,MOUNT GRAVATT EAST,4122,QLD,OPERATIONAL,1,AS RECEIVED – NO GNAF MATCH,20/01/2020,,,,,,
1614,PETROL STATION,61401027,CALTEX LABRADOR FRANK ST,CALTEX,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,69 FRANK STREET AND CENTRAL STREET,LABRADOR,4215,QLD,OPERATIONAL,1,AS RECEIVED – NO GNAF MATCH,15/07/2019,,,,,,
1615,PETROL STATION,8141,DIRRANBANDI ,BP,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,3 RAILWAY STREET,DIRRANBANDI,4486,QLD,OPERATIONAL,5,AS RECEIVED – NO GNAF MATCH,25/07/2011,,,,,,
1616,PETROL STATION,61401766,BP WACOL TRUCK STOP,BP,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,BOUNDARY ROAD,WACOL,4076,QLD,OPERATIONAL,1,AS RECEIVED – NO GNAF MATCH,03/06/2020,,,,,,
1617,PETROL STATION,61402298,CALTEX KENT ST UNMANNED,CALTEX,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,182 KENT STREET,MARYBOROUGH,4650,QLD,OPERATIONAL,1,AS RECEIVED – NO GNAF MATCH,12/09/2019,,,,,,
1618,PETROL STATION,61477692,COLES EXPRESS MOOROOKA,COLES EXPRESS,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,1029 IPSWICH ROAD,MOOROOKA,4105,QLD,OPERATIONAL,1,AS RECEIVED – NO GNAF MATCH,07/10/2020,,,,,,
1619,PETROL STATION,61401722,FREEDOM FUELS GOODNA,FREEDOM FUELS,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,114 BRISBANE TERRACE,GOODNA,4300,QLD,OPERATIONAL,1,AS RECEIVED – NO GNAF MATCH,15/07/2019,,,,,,
1620,PETROL STATION,61470043,CALTEX YABULU,CALTEX,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,BRUCE HIGHWAY,YABULU,4818,QLD,OPERATIONAL,1,AS RECEIVED – NO GNAF MATCH,07/01/2020,,,,,,
1621,PETROL STATION,61477868,AURUKUN BOWSERS,MISCELLANEOUS,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,LOT 509 KANG KANG ROAD,ARURUKUN,4892,QLD,OPERATIONAL,1,AS RECEIVED – NO GNAF MATCH,05/12/2019,,,,,,
1622,PETROL STATION,61470615,UNITED CRANBROOK,UNITED,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,475 ROSS RIVER ROAD,CRANBROOK,4814,QLD,OPERATIONAL,1,AS RECEIVED – NO GNAF MATCH,11/08/2020,,,,,,
1623,PETROL STATION,61402757,AMPOL WINTON,AMPOL,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,1 CHIRNSIDE STREET,WINTON,4733,QLD,OPERATIONAL,1,AS RECEIVED – NO GNAF MATCH,15/07/2019,,,,,,
1624,PETROL STATION,61477826,IBIS FUEL KUBIN,MISCELLANEOUS,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,,MOA ISLAND,4875,QLD,OPERATIONAL,1,AS RECEIVED – NO GNAF MATCH,15/07/2019,,,,,,
1625,PETROL STATION,61401916,AMPOL ACACIA RIDGE NORTH,AMPOL,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,1240 BEAUDESERT ROAD AND MORTIMER ROAD,ACACIA RIDGE NORTH,4110,QLD,OPERATIONAL,1,AS RECEIVED – NO GNAF MATCH,25/02/2020,,,,,,
1626,PETROL STATION,61477825,IBIS FUEL ST. PAULS,MISCELLANEOUS,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,OZA BOSUN ROAD,MOA ISLAND,4875,QLD,OPERATIONAL,1,AS RECEIVED – NO GNAF MATCH,15/07/2019,,,,,,
1627,PETROL STATION,61470589,CALTEX MACKAY,CALTEX,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,47 BEACONSFIELD ROAD,BEACONSFIELD,4740,QLD,OPERATIONAL,1,AS RECEIVED – NO GNAF MATCH,15/07/2019,,,,,,
1628,PETROL STATION,61401477,7-ELEVEN SPRINGWOOD,7-ELEVEN PTY LTD,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,SPRINGWOOD ROAD,SPRINGWOOD,4127,QLD,OPERATIONAL,1,AS RECEIVED – NO GNAF MATCH,15/07/2019,,,,,,
1629,PETROL STATION,61477769,7-ELEVEN PIMPAMA CENTRAL,7-ELEVEN PTY LTD,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,CORNER YAWALPA ROAD AND ATTENBOROUGH BOULEVARD,PIMPAMA,4209,QLD,OPERATIONAL,1,AS RECEIVED – NO GNAF MATCH,15/07/2019,,,,,,
1630,PETROL STATION,61401997,PUMA RASMUSSEN,PUMA,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,1231 RIVERWAY DRIVE,KELSO,4815,QLD,OPERATIONAL,1,AS RECEIVED – NO GNAF MATCH,24/11/2020,,,,,,
1631,PETROL STATION,61477979,7-ELEVEN EDEN'S CROSSING,7-ELEVEN PTY LTD,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,7001 SUNBIRD DRIVE,REDBANK PLAINS,4301,QLD,OPERATIONAL,1,AS RECEIVED – NO GNAF MATCH,03/08/2020,,,,,,
1632,PETROL STATION,61402089,CALTEX/WOOLWORTHS TINGALPA,COLES WOOLWORTHS,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,869 MANLY ROAD,TINGALPA,4173,QLD,OPERATIONAL,1,AS RECEIVED – NO GNAF MATCH,26/11/2020,,,,,,
1633,PETROL STATION,61402372,FREEDOM FUELS BEENLEIGH,FREEDOM FUELS,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,52 LOGAN RIVER ROAD,BEENLEIGH,4207,QLD,OPERATIONAL,1,AS RECEIVED – NO GNAF MATCH,07/01/2020,,,,,,
1634,PETROL STATION,61477954,SHELL GLADSTONE,SHELL,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,8 WENITONG STREET,WEST GLADSTONE,4680,QLD,OPERATIONAL,1,AS RECEIVED – NO GNAF MATCH,12/09/2019,,,,,,
1635,PETROL STATION,61402014,UNITED RYKE FUEL KUMBIA,UNITED,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,61 BELL STREET,KUMBIA,4610,QLD,OPERATIONAL,1,AS RECEIVED – NO GNAF MATCH,15/07/2019,,,,,,
1636,PETROL STATION,61470076,PUMA BILOELA (HARRIS ST),PUMA,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,2 DAWSON HIGHWAY,BILOELA,4715,QLD,OPERATIONAL,1,AS RECEIVED – NO GNAF MATCH,03/08/2020,,,,,,
1637,PETROL STATION,61402254,7-ELEVEN RIVER HILLS,7-ELEVEN PTY LTD,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,412 SUMNERS ROAD,RIVERHILLS,4074,QLD,OPERATIONAL,1,AS RECEIVED – NO GNAF MATCH,27/11/2019,,,,,,
1638,PETROL STATION,61402009,AMPOL MOSSMAN,AMPOL,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,,MOSSMAN,4873,QLD,OPERATIONAL,1,AS RECEIVED – NO GNAF MATCH,15/07/2019,,,,,,
1639,PETROL STATION,61477767,COLES EXPRESS BRENDALE,COLES EXPRESS,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,2 LINKFIELD ROAD,BRENDALE,4500,QLD,OPERATIONAL,1,AS RECEIVED – NO GNAF MATCH,07/10/2020,,,,,,
1640,PETROL STATION,61401445,7-ELEVEN WISHART,7-ELEVEN PTY LTD,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,MOUNT GRAVATT-CAPALABA ROAD,WISHART,4122,QLD,OPERATIONAL,1,AS RECEIVED – NO GNAF MATCH,15/07/2019,,,,,,
1641,PETROL STATION,61402744,INDEPENDENT ALPHA GATEWAY,CALTEX,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,CORNER CAPRICORN HIGHWAY AND MILTON STREET,ALPHA,4724,QLD,OPERATIONAL,1,AS RECEIVED – NO GNAF MATCH,15/07/2019,,,,,,
1642,PETROL STATION,61402644,NIGHTOWL SHELL EAST TOOWOOMBA,SHELL,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,2 COHOE STREET,TOOWOOMBA EAST,4350,QLD,OPERATIONAL,1,AS RECEIVED – NO GNAF MATCH,13/12/2019,,,,,,
1643,PETROL STATION,61477892,MUNDUBBERA TYRE SERVICE,MISCELLANEOUS,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,CORNER BURNETT AND BAUER STREET,MUNDUBBERA,4626,QLD,OPERATIONAL,1,AS RECEIVED – NO GNAF MATCH,15/07/2019,,,,,,
1644,PETROL STATION,61401713,CALTEX HELENSVALE,CALTEX,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,PACIFIC HIGHWAY,HELENSVALE,4212,QLD,OPERATIONAL,1,AS RECEIVED – NO GNAF MATCH,15/07/2019,,,,,,
1645,PETROL STATION,61451577,COLES EXPRESS ROCKHAMPTON NORTH,COLES EXPRESS,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,240 MUSGRAVE STREET STREET,ROCKHAMPTON NORTH,4701,QLD,OPERATIONAL,1,AS RECEIVED – NO GNAF MATCH,05/10/2020,,,,,,
1646,PETROL STATION,61401371,PUMA WYNNUM (PRESTON RD),PUMA,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,WONDALL ROAD AND PRESTON ROAD,WYNNUM,4178,QLD,OPERATIONAL,1,AS RECEIVED – NO GNAF MATCH,24/11/2020,,,,,,
1647,PETROL STATION,61402404,7-ELEVEN CLONTARF,7-ELEVEN PTY LTD,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,9 ELIZABETH STREET,CLONTARF,4019,QLD,OPERATIONAL,1,AS RECEIVED – NO GNAF MATCH,15/07/2019,,,,,,
1648,PETROL STATION,61477106,MARANO’S FUEL WONGA,AMPOL,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,3 OLEANDER DRIVE,WONGA BEACH,4873,QLD,OPERATIONAL,1,AS RECEIVED – NO GNAF MATCH,05/02/2020,,,,,,
1649,PETROL STATION,61401958,7-ELEVEN EAST BEENLEIGH,7-ELEVEN PTY LTD,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,79 LOGAN RIVER ROAD,BEENLEIGH,4207,QLD,OPERATIONAL,1,AS RECEIVED – NO GNAF MATCH,15/07/2019,,,,,,
1650,PETROL STATION,61402581,IBIS THURSDAY ISLAND SERVICE STATION,MISCELLANEOUS,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,,THURSDAY ISLAND,4875,QLD,OPERATIONAL,1,AS RECEIVED – NO GNAF MATCH,15/07/2019,,,,,,
1651,PETROL STATION,61470860,BP ROLLINGSTONE,BP,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,44050 BRUCE HIGHWAY,ROLLINGSTONE,4816,QLD,OPERATIONAL,1,AS RECEIVED – NO GNAF MATCH,15/07/2019,,,,,,
1652,PETROL STATION,61477640,PUMA BERSERKER,PUMA,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,26 EDWIN STREET,BERSERKER,4701,QLD,OPERATIONAL,1,AS RECEIVED – NO GNAF MATCH,18/08/2020,,,,,,
1653,PETROL STATION,61401983,CALTEX STARMART NORGATE STAR (MACKAY),CALTEX,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,78-80 MALCOMSON STREET,MACKAY NORTH,4740,QLD,OPERATIONAL,1,AS RECEIVED – NO GNAF MATCH,15/07/2019,,,,,,
1654,PETROL STATION,61401386,BIZZELLS GARAGE PADDINGTON,MISCELLANEOUS,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,93 LATROBE TERRACE AND WARMINGTON STREET,PADDINGTON,4064,QLD,OPERATIONAL,1,AS RECEIVED – NO GNAF MATCH,15/07/2019,,,,,,
1655,PETROL STATION,61477137,UNITED LABRADOR,UNITED,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,16 FRANK STREET,LABRADOR,4215,QLD,OPERATIONAL,1,AS RECEIVED – NO GNAF MATCH,15/07/2019,,,,,,
1656,PETROL STATION,61477926,SPEEWAH COUNTRY TAVERN,MISCELLANEOUS,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,38 SPEEWAH ROAD,SPEEWAH,4881,QLD,OPERATIONAL,1,AS RECEIVED – NO GNAF MATCH,15/07/2019,,,,,,
1657,PETROL STATION,61402153,BP NEWTOWN,BP,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,TOR STREET STREET,NEWTOWN,4350,QLD,OPERATIONAL,1,AS RECEIVED – NO GNAF MATCH,15/07/2019,,,,,,
1658,PETROL STATION,61402237,CALTEX/WOOLWORTHS ALEXANDRA HILLS,COLES WOOLWORTHS,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,CAMBRIDGE DRIVE,ALEXANDRA HILLS,4161,QLD,OPERATIONAL,1,AS RECEIVED – NO GNAF MATCH,23/11/2020,,,,,,
1659,PETROL STATION,61451622,COLES EXPRESS TOOWOOMBA MARGARET ST,COLES EXPRESS,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,281 MARGARET STREET AND MYLNE STREET,TOOWOOMBA,4350,QLD,OPERATIONAL,1,AS RECEIVED – NO GNAF MATCH,05/10/2020,,,,,,
1660,PETROL STATION,61477086,PUMA CLONCURRY,PUMA,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,LOT 3 SIR HUDSON FYSH DRIVE,CLONCURRY,4824,QLD,OPERATIONAL,1,AS RECEIVED – NO GNAF MATCH,15/07/2019,,,,,,
1661,PETROL STATION,61477061,CALTEX/WOOLWORTHS VICTORIA POINT,COLES WOOLWORTHS,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,480-490 CLEVELAND REDLAND BAY,VICTORIA POINT,4165,QLD,OPERATIONAL,1,AS RECEIVED – NO GNAF MATCH,24/11/2020,,,,,,
1662,PETROL STATION,61477779,7-ELEVEN WEST IPSWICH,7-ELEVEN PTY LTD,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,353-357 BRISBANE STREET,WEST IPSWICH,4305,QLD,OPERATIONAL,1,AS RECEIVED – NO GNAF MATCH,15/07/2019,,,,,,
1663,PETROL STATION,61402271,BP TOWNSVILLE TRUCKSTOP,BP,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,RACECOURSE ROAD,TOWNSVILLE,4811,QLD,OPERATIONAL,1,AS RECEIVED – NO GNAF MATCH,15/07/2019,,,,,,
1664,PETROL STATION,61451732,MOUNT ISA SERVICE STATION,PUMA,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,14-16 MARIAN STREET,MOUNT ISA,4825,QLD,OPERATIONAL,1,AS RECEIVED – NO GNAF MATCH,11/05/2020,,,,,,
1665,PETROL STATION,61402551,BP LAKELAND COFFEE HOUSE & STORE,BP,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,FOYSTERS DRIVE AND SESAME ROAD,LAKELAND,4871,QLD,OPERATIONAL,1,AS RECEIVED – NO GNAF MATCH,15/07/2019,,,,,,
1666,PETROL STATION,61402201,UNITED ILBILBIE,UNITED,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,87249 BRUCE HIGHWAY,ILBILBIE,4738,QLD,OPERATIONAL,1,AS RECEIVED – NO GNAF MATCH,15/07/2019,,,,,,
1667,PETROL STATION,61470142,SMITHY'S DRIVEWAY SERVICE GLENMORE ROAD,MISCELLANEOUS,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,76 GLENMORE ROAD,ROCKHAMPTON NORTH,4701,QLD,OPERATIONAL,1,AS RECEIVED – NO GNAF MATCH,15/07/2019,,,,,,
1668,PETROL STATION,61401298,BP NORTHGATE,BP,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,215 TOOMBUL ROAD AND MELTON ROAD,NORTHGATE,4013,QLD,OPERATIONAL,1,AS RECEIVED – NO GNAF MATCH,15/07/2019,,,,,,
1669,PETROL STATION,61401136,PUMA NORMAN PARK,PUMA,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,164 BENNETTS ROAD AND MILSOM STREET,NORMAN PARK,4170,QLD,OPERATIONAL,1,AS RECEIVED – NO GNAF MATCH,19/07/2020,,,,,,
1670,PETROL STATION,61470177,FUTURE FUEL DISTRIBUTORS SERVICE STATION THEODORE,BP,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,53 THE BOULEVARD,THEODORE,4719,QLD,OPERATIONAL,1,AS RECEIVED – NO GNAF MATCH,15/07/2019,,,,,,
1671,PETROL STATION,61402293,AMPOL BILOELA,AMPOL,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,45 DAWSON HIGHWAY,BILOELA,4715,QLD,OPERATIONAL,1,AS RECEIVED – NO GNAF MATCH,15/07/2019,,,,,,
1672,PETROL STATION,61470492,BP ROMA TRUCKSTOP,BP,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,MITCHELL ROAD,ROMA,4455,QLD,OPERATIONAL,1,AS RECEIVED – NO GNAF MATCH,25/11/2020,,,,,,
1673,PETROL STATION,61477638,WOWAN ROADHOUSE,MISCELLANEOUS,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,2 LEICHHARDT HIGHWAY,WOWAN,4702,QLD,OPERATIONAL,1,AS RECEIVED – NO GNAF MATCH,15/07/2019,,,,,,
1674,PETROL STATION,61401780,COLES EXPRESS DECEPTION BAY,COLES EXPRESS,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,376 DECEPTION BAY ROAD AND PARK ROAD,DECEPTION BAY,4508,QLD,OPERATIONAL,1,AS RECEIVED – NO GNAF MATCH,07/10/2020,,,,,,
1675,PETROL STATION,61402077,AMPOL NORTH ROCKHAMPTON,AMPOL,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,524 YAAMBA ROAD,ROCKHAMPTON NORTH,4701,QLD,OPERATIONAL,1,AS RECEIVED – NO GNAF MATCH,15/07/2019,,,,,,
1676,PETROL STATION,61470918,BP GYMPIE GATEWAY,BP,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,295 BRISBANE ROAD AND BRUCE HIGHWAY,GYMPIE,4570,QLD,OPERATIONAL,1,AS RECEIVED – NO GNAF MATCH,15/07/2019,,,,,,
1677,PETROL STATION,61401010,COLES EXPRESS NERANG,COLES EXPRESS,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,6-8 FERRY STREET,NERANG,4211,QLD,OPERATIONAL,1,AS RECEIVED – NO GNAF MATCH,07/10/2020,,,,,,
1678,PETROL STATION,61401225,METRO CLONTARF,METRO,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,267 ELIZABETH ROAD,CLONTARF,4019,QLD,OPERATIONAL,1,AS RECEIVED – NO GNAF MATCH,15/07/2019,,,,,,
1679,PETROL STATION,61402142,CALTEX/WOOLWORTHS DECEPTION BAY,COLES WOOLWORTHS,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,3 BAY AVENUE AND DECEPTION BAY ROAD,DECEPTION BAY,4508,QLD,OPERATIONAL,1,AS RECEIVED – NO GNAF MATCH,02/12/2020,,,,,,
1680,PETROL STATION,61451643,COLES EXPRESS BLACKWATER,COLES EXPRESS,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,18 RAILWAY STREET,BLACKWATER,4717,QLD,OPERATIONAL,1,AS RECEIVED – NO GNAF MATCH,05/10/2020,,,,,,
1681,PETROL STATION,61401777,LIBERTY KARAWATHA,LIBERTY,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,180-200 COMPTON ROAD,KARAWATHA,4112,QLD,OPERATIONAL,1,AS RECEIVED – NO GNAF MATCH,14/09/2020,,,,,,
1682,PETROL STATION,61402461,UNITED HERVEY BAY,UNITED,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,53-83 MARYBOROUGH ROAD,HERVEY BAY,4655,QLD,OPERATIONAL,1,AS RECEIVED – NO GNAF MATCH,24/07/2020,,,,,,
1683,PETROL STATION,61401989,PUMA BOHLE TRUCKSTOP,PUMA,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,900 INGHAM ROAD,BOHLE,4818,QLD,OPERATIONAL,1,AS RECEIVED – NO GNAF MATCH,05/12/2019,,,,,,
1684,PETROL STATION,61470086,MOBIL ON SPENCE,MOBIL,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,142A-146 SPENCE STREET,CAIRNS,4870,QLD,OPERATIONAL,1,AS RECEIVED – NO GNAF MATCH,30/08/2020,,,,,,
1685,PETROL STATION,61402173,LIBERTY ROMA,LIBERTY,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,70-72 QUINTIN STREET,ROMA,4455,QLD,OPERATIONAL,1,AS RECEIVED – NO GNAF MATCH,15/07/2019,,,,,,
1686,PETROL STATION,61477111,PUMA EL ARISH,PUMA,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,131 BRUCE HIGHWAY,EL ARISH,4855,QLD,OPERATIONAL,1,AS RECEIVED – NO GNAF MATCH,15/07/2019,,,,,,
1687,PETROL STATION,61402283,BP FAVERO MOTORS,BP,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,55 HIGH STREET,STANTHORPE,4380,QLD,OPERATIONAL,1,AS RECEIVED – NO GNAF MATCH,15/07/2019,,,,,,
1688,PETROL STATION,61477079,CALTEX/WOOLWORTHS WARANA,COLES WOOLWORTHS,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,196-198 NICKLIN WAY,KAWANA WATERS,4575,QLD,OPERATIONAL,1,AS RECEIVED – NO GNAF MATCH,15/07/2019,,,,,,
1689,PETROL STATION,61477898,COSTCO IPSWICH FUEL STATION,COSTCO,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,1 WOOD STREET,BUNDAMBA,4304,QLD,OPERATIONAL,1,AS RECEIVED – NO GNAF MATCH,02/10/2019,,,,,,
